id,model_name,label,img_path,size,url
20,cluster_100,7,imgs/cluster_100/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_100.pth?download=true
21,cluster_117,4,imgs/cluster_117/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_117.pth?download=true
15,cluster_124,1,imgs/cluster_124/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_124.pth?download=true
10,cluster_1372,8,imgs/cluster_1372/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_1372.pth?download=true
9,cluster_146,3,imgs/cluster_146/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_146.pth?download=true
23,cluster_170,4,imgs/cluster_170/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_170.pth?download=true
13,cluster_190,2,imgs/cluster_190/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_190.pth?download=true
6,cluster_191,5,imgs/cluster_191/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_191.pth?download=true
18,cluster_216,3,imgs/cluster_216/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_216.pth?download=true
11,cluster_249,1,imgs/cluster_249/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_249.pth?download=true
14,cluster_31,4,imgs/cluster_31/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_31.pth?download=true
7,cluster_378,5,imgs/cluster_378/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_378.pth?download=true
3,cluster_412,9,imgs/cluster_412/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_412.pth?download=true
16,cluster_430,6,imgs/cluster_430/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_430.pth?download=true
0,cluster_444,3,imgs/cluster_444/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_444.pth?download=true
17,cluster_475,1,imgs/cluster_475/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_475.pth?download=true
5,cluster_478,1,imgs/cluster_478/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_478.pth?download=true
1,cluster_51,7,imgs/cluster_51/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_51.pth?download=true
19,cluster_551,5,imgs/cluster_551/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_551.pth?download=true
8,cluster_674,5,imgs/cluster_674/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_674.pth?download=true
22,cluster_750,9,imgs/cluster_750/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_750.pth?download=true
4,cluster_76,0,imgs/cluster_76/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_76.pth?download=true
12,cluster_775,3,imgs/cluster_775/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_775.pth?download=true
2,cluster_963,3,imgs/cluster_963/sample.png,50,https://huggingface.co/datasets/stylebreeder/stylebreeder/resolve/main/EDLoRAs/cluster_963.pth?download=true
